"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"17681";"http://pedregosa.local/img/p/6/9/2/5/6925.jpg";"KYOCERA-MITA Toner Negro TK8315K";"1T02MV0NL0";"";"36.770000";"44.49";"1000";"1";
"40605";"http://pedregosa.local/img/p/5/9/9/0/5990.jpg";"Impresora OKI Matricial ML-5100FBeco";"43718217";"IMPRESORAS";"487.280000";"589.61";"1000";"1";
"12313";"http://pedregosa.local/img/p/3/2/7/7/3277.jpg";"Cartucho de tinta Original HP 364XL de alta capacidad fotografico para HP DeskJet, HP OfficeJet y HP PhotoSmart";"CB322EE";"TINTA IMPRESORA";"15.993600";"19.35";"1000";"0";
"13424";"http://pedregosa.local/img/p/8/5/8/7/8587.jpg";"KONICA MINOLTA TONER COPIADORA NEGRO BIZHUB C550/C650 TN-611K";"TN611K";"";"57.950000";"70.12";"1000";"1";
"24810";"http://pedregosa.local/img/p/2/5/0/250.jpg";"Epson Aculaser 3800 Toner Magenta Alta capacidad";"C13S051125";"";"234.540000";"283.79";"1000";"1";
"31697";"http://pedregosa.local/img/p/3/9/2/5/3925.jpg";"EQUIPO MULTIFUNCIÓN EPSON Expression Home XP-245";"C11CF32402";"IMPRESORAS";"42.768595";"51.75";"";"0";
"3971";"http://pedregosa.local/img/p/6/5/4/9/6549.jpg";"Canon LBP-2410 Toner Amarillo";"7430A003BA";"";"78.810000";"95.36";"1000";"1";
"7337";"http://pedregosa.local/img/p/8/0/1/3/8013.jpg";"Toner TALLY MT -904/MT-904+/MT-908 -2 Cartuchos-.";"391946";"";"15.270000";"18.48";"1000";"1";
"3689";"http://pedregosa.local/img/p/7/2/1/7/7217.jpg";"Tambor OKI C-7100/C-7300/C-7500 Cyan";"41962807";"";"181.350000";"219.43";"1000";"1";
"13571";"http://pedregosa.local/img/p/8/6/1/4/8614.jpg";"Brother Cinta laminada Transparente / negro (Superadhesivo) 12mm";"TZE-S131";"";"10.140000";"12.27";"1000";"1";
"15545";"http://pedregosa.local/img/p/7/5/7/2/7572.jpg";"RICOH SP300DN Toner Negro";"406956";"";"51.310000";"62.09";"1000";"1";
"31830";"http://pedregosa.local/img/p/7/7/2/7/7727.jpg";"SAMSUNG Tóner Negro Ultra Alta Capacidad Twin Pack";"MLT-P203U";"";"331.460000";"401.07";"1000";"1";
"33350";"http://pedregosa.local/img/p/1/2/3/3/1233.jpg";"RICOH Toner negro tipo MP 305 TYPE305";"842142";"";"20.780000";"25.14";"999";"1";
